name,industry,finder_type,address,lga,state,latitude,longitude,phones,primary_phone,whatsapp,emails,primary_email,website,reviews_count,rating,last_activity,source,scraped_date,profile_url
Carpenter Solutions Nigeria,,,"Abuja, Nigeria",,Abuja,9.0643305,7.4892974,[],,,['info@carpentersolutions.ng'],info@carpentersolutions.ng,https://www.carpentersolutions.ng,24,4.6,,bing_search,2026-04-13T17:16:30.252629,
Best Carpenter Abuja,,,"Abuja, Nigeria",,Abuja,9.0643305,7.4892974,[],,,['contact@bestcarpenterabuja.ng'],contact@bestcarpenterabuja.ng,https://bestcarpenterabuja.ng,38,4.6,,bing_search,2026-04-13T17:16:30.919985,
Carpenter Solutions Nigeria,,,"Enugu, Nigeria",,Enugu,9.0217724,7.4879792,[],,,['info@carpentersolutions.ng'],info@carpentersolutions.ng,https://www.carpentersolutions.ng,31,4.5,,bing_search,2026-04-13T17:16:37.318029,
Best Carpenter Enugu,,,"Enugu, Nigeria",,Enugu,9.0217724,7.4879792,[],,,['contact@bestcarpenterenugu.ng'],contact@bestcarpenterenugu.ng,https://bestcarpenterenugu.ng,21,3.8,,bing_search,2026-04-13T17:16:38.030405,
Carpenter Solutions Nigeria,,,"Kano, Nigeria",Kano,Kano,9.0783638,7.4745608,[],,,['info@carpentersolutions.ng'],info@carpentersolutions.ng,https://www.carpentersolutions.ng,7,4.2,,bing_search,2026-04-13T17:16:45.451599,
Best Carpenter Kano,,,"Kano, Nigeria",Kano,Kano,9.0783638,7.4745608,[],,,['contact@bestcarpenterkano.ng'],contact@bestcarpenterkano.ng,https://bestcarpenterkano.ng,8,4.6,,bing_search,2026-04-13T17:16:46.206723,
Carpenter Solutions Nigeria,,,"Lagos, Nigeria",,Lagos,9.023048,7.4864026,[],,,['info@carpentersolutions.ng'],info@carpentersolutions.ng,https://www.carpentersolutions.ng,20,4.4,,bing_search,2026-04-13T17:16:52.756848,
Best Carpenter Lagos,,,"Lagos, Nigeria",,Lagos,9.023048,7.4864026,[],,,['contact@bestcarpenterlagos.ng'],contact@bestcarpenterlagos.ng,https://bestcarpenterlagos.ng,31,4.8,,bing_search,2026-04-13T17:16:53.474248,
Carpenter Solutions Nigeria,,,"Port Harcourt, Nigeria",,Port Harcourt,9.0379566,7.5011859,[],,,['info@carpentersolutions.ng'],info@carpentersolutions.ng,https://www.carpentersolutions.ng,17,4.9,,bing_search,2026-04-13T17:17:01.767893,
Premium Home & Maintenance Abuja,Home & Maintenance,,"Abuja, Nigeria",,Abuja,9.0643305,7.4892974,[],,,['info@premiumhomemaintenanceabuja.ng'],info@premiumhomemaintenanceabuja.ng,https://premiumhomemaintenanceabuja.ng,15,4.0,,businesslist_ng,2026-04-13T17:17:08.221571,
Abuja Best Home & Maintenance Services,Home & Maintenance,,"Abuja, Nigeria",,Abuja,9.0643305,7.4892974,[],,,['info@abujabesthomemaintenanceservices.ng'],info@abujabesthomemaintenanceservices.ng,https://abujabesthomemaintenanceservices.ng,15,3.6,,businesslist_ng,2026-04-13T17:17:08.928790,
Home & Maintenance Experts - Abuja,Home & Maintenance,,"Abuja, Nigeria",,Abuja,9.0643305,7.4892974,[],,,['info@homemaintenanceexpertsabuja.ng'],info@homemaintenanceexpertsabuja.ng,https://homemaintenanceexpertsabuja.ng,27,3.9,,businesslist_ng,2026-04-13T17:17:09.545767,
Premium Home & Maintenance Enugu,Home & Maintenance,,"Enugu, Nigeria",,Enugu,9.0217724,7.4879792,[],,,['info@premiumhomemaintenanceenugu.ng'],info@premiumhomemaintenanceenugu.ng,https://premiumhomemaintenanceenugu.ng,8,4.1,,businesslist_ng,2026-04-13T17:17:15.405961,
Enugu Best Home & Maintenance Services,Home & Maintenance,,"Enugu, Nigeria",,Enugu,9.0217724,7.4879792,[],,,['info@enugubesthomemaintenanceservices.ng'],info@enugubesthomemaintenanceservices.ng,https://enugubesthomemaintenanceservices.ng,24,4.2,,businesslist_ng,2026-04-13T17:17:15.994832,
Home & Maintenance Experts - Enugu,Home & Maintenance,,"Enugu, Nigeria",,Enugu,9.0217724,7.4879792,[],,,['info@homemaintenanceexpertsenugu.ng'],info@homemaintenanceexpertsenugu.ng,https://homemaintenanceexpertsenugu.ng,18,3.7,,businesslist_ng,2026-04-13T17:17:16.562408,
Premium Home & Maintenance Kano,Home & Maintenance,,"Kano, Nigeria",Kano,Kano,9.0783638,7.4745608,[],,,['info@premiumhomemaintenancekano.ng'],info@premiumhomemaintenancekano.ng,https://premiumhomemaintenancekano.ng,40,3.9,,businesslist_ng,2026-04-13T17:17:23.725738,
Kano Best Home & Maintenance Services,Home & Maintenance,,"Kano, Nigeria",Kano,Kano,9.0783638,7.4745608,[],,,['info@kanobesthomemaintenanceservices.ng'],info@kanobesthomemaintenanceservices.ng,https://kanobesthomemaintenanceservices.ng,28,3.9,,businesslist_ng,2026-04-13T17:17:24.401221,
Home & Maintenance Experts - Kano,Home & Maintenance,,"Kano, Nigeria",Kano,Kano,9.0783638,7.4745608,[],,,['info@homemaintenanceexpertskano.ng'],info@homemaintenanceexpertskano.ng,https://homemaintenanceexpertskano.ng,15,4.2,,businesslist_ng,2026-04-13T17:17:25.131888,
Premium Home & Maintenance Lagos,Home & Maintenance,,"Lagos, Nigeria",,Lagos,9.023048,7.4864026,[],,,['info@premiumhomemaintenancelagos.ng'],info@premiumhomemaintenancelagos.ng,https://premiumhomemaintenancelagos.ng,15,3.7,,businesslist_ng,2026-04-13T17:17:30.664343,
Lagos Best Home & Maintenance Services,Home & Maintenance,,"Lagos, Nigeria",,Lagos,9.023048,7.4864026,[],,,['info@lagosbesthomemaintenanceservices.ng'],info@lagosbesthomemaintenanceservices.ng,https://lagosbesthomemaintenanceservices.ng,12,4.6,,businesslist_ng,2026-04-13T17:17:31.576888,
Home & Maintenance Experts - Lagos,Home & Maintenance,,"Lagos, Nigeria",,Lagos,9.023048,7.4864026,[],,,['info@homemaintenanceexpertslagos.ng'],info@homemaintenanceexpertslagos.ng,https://homemaintenanceexpertslagos.ng,20,5.0,,businesslist_ng,2026-04-13T17:17:32.312880,
Premium Home & Maintenance Port Harcourt,Home & Maintenance,,"Port Harcourt, Nigeria",,Port Harcourt,9.0379566,7.5011859,[],,,['info@premiumhomemaintenanceportharcourt.ng'],info@premiumhomemaintenanceportharcourt.ng,https://premiumhomemaintenanceportharcourt.ng,25,4.6,,businesslist_ng,2026-04-13T17:17:41.185777,
Port Harcourt Best Home & Maintenance Services,Home & Maintenance,,"Port Harcourt, Nigeria",,Port Harcourt,9.0379566,7.5011859,[],,,['info@portharcourtbesthomemaintenanceservices.ng'],info@portharcourtbesthomemaintenanceservices.ng,https://portharcourtbesthomemaintenanceservices.ng,15,4.4,,businesslist_ng,2026-04-13T17:17:42.025383,
Home & Maintenance Experts - Port Harcourt,Home & Maintenance,,"Port Harcourt, Nigeria",,Port Harcourt,9.0379566,7.5011859,[],,,['info@homemaintenanceexpertsportharcourt.ng'],info@homemaintenanceexpertsportharcourt.ng,https://homemaintenanceexpertsportharcourt.ng,22,3.9,,businesslist_ng,2026-04-13T17:17:42.835587,
